Day,Replicate,Treatment,Initial_Dry_Weight,Final_Dry_Weight,Fraction_Initial_Weight,Fraction_Final_Weight
0,1,Control,5.01,4.99,1.1071,0.3858
0,1,Control,5.01,4.94,1.1964,0.3504
0,1,Control,5.01,4.84,1.0647,0.4248
0,1,Control,5.01,4.82,1.0005,0.3333
0,1,Control,5.01,4.96,1.0453,0.3417
0,1,Control,5,4.97,1.1212,0.3467
2,1,CC,5,4.65,1.0081,0.3229
2,2,CC,5,4.63,1.0972,0.3605
2,3,CC,5,4.67,1.1307,0.3304
2,1,VEN,5.01,4.65,1.1329,0.3766
2,2,VEN,5,4.66,1.011,0.3288
2,3,VEN,5.01,4.61,1.0882,0.3427
2,1,HP,5.01,4.91,1.1301,0.2833
2,2,HP,5,4.66,1.1228,0.3676
2,3,HP,5.01,4.68,1.1719,0.3842
2,1,MONT,5,4.66,1.0511,0.2769
2,2,MONT,5,4.63,1.0147,0.3385
2,3,MONT,5,4.86,1.0795,0.3346
2,1,LL,5.01,4.9,1.1389,0.4086
2,2,LL,5.01,4.63,1.143,0.3748
2,3,LL,5.01,4.84,1.1324,0.3954
2,1,MAT,5.01,4.68,1.0899,0.3289
2,2,MAT,5.02,4.69,1.1046,0.3485
2,3,MAT,5,4.6,1.0143,0.2893
4,1,CC,5,4.64,1.0898,0.3489
4,2,CC,5.01,4.37,1.075,0.3181
4,3,CC,5,4.37,1.0295,0.2948
4,1,VEN,5.01,4.34,1.0634,0.3339
4,2,VEN,5.01,4.3,1.09,0.199
4,3,VEN,5.01,4.3,1.0926,0.3231
4,1,HP,5,4.52,1,0.2189
4,2,HP,5.01,4.25,1.0606,0.3627
4,3,HP,5,4.58,1.1156,0.3237
4,1,MONT,5,4.33,1.0835,0.3387
4,2,MONT,5,4.33,1.0779,0.2644
4,3,MONT,5,4.35,1.1144,0.3487
4,1,LL,5.01,4.27,1.1034,0.329
4,2,LL,5,4.3,1.0933,0.294
4,3,LL,5,4.24,1.1034,0.329
4,1,MAT,5,4.35,1.0791,0.3344
4,2,MAT,5.01,4.34,1.0121,0.2937
4,3,MAT,5.01,4.36,1.103,0.387
8,1,CC,5,4.17,1.0956,0.4098
8,2,CC,5,3.72,1.042,0.3762
8,3,CC,5,4.12,1.0876,0.3787
8,1,VEN,5,4.09,1.0216,0.3489
8,2,VEN,5,4.09,1.1046,0.3781
8,3,VEN,5,4.2,1.0706,0.333
8,1,HP,5.01,4.54,1.0449,0.3299
8,2,HP,5,4.02,1.0922,0.3539
8,3,HP,5.01,4.02,1.1061,0.3903
8,1,MONT,5.01,4.1,1.0878,0.1311
8,2,MONT,5,4,1.0194,0.3497
8,3,MONT,5.02,3.97,1.0437,0.3136
8,1,LL,5,4.16,1.0177,0.3525
8,2,LL,5.01,4.06,1.0172,0.3332
8,3,LL,5,4.32,1.0601,0.3348
8,1,MAT,5,4.23,1.003,0.3546
8,2,MAT,5,4.61,1.074,0.3401
8,3,MAT,5,4.08,1.0434,0.3329
16,1,CC,5,4,1.006,0.3345
16,2,CC,5,3.99,1.1052,0.3595
16,3,CC,5.01,3.64,1.0922,0.3511
16,1,VEN,5,3.85,1.0386,0.22
16,2,VEN,5.01,3.77,1.0667,0.3646
16,3,VEN,5,3.74,1.103,0.3641
16,1,HP,5,3.66,1.042,0.3175
16,2,HP,5,3.33,1.0006,0.3414
16,3,HP,5,3.21,1.0003,0.311
16,1,MONT,5,3.55,1.0879,0.3375
16,2,MONT,5.03,3.33,1.0002,0.354
16,3,MONT,5.01,3.28,1.0489,0.3299
16,1,LL,5,3.89,1.0008,0.2296
16,2,LL,5.01,3.56,1,0.3707
16,3,LL,5,4.16,1.1195,0.2831
16,1,MAT,5.02,4,1.0006,0.3031
16,2,MAT,5.01,3.95,1.0003,0.3379
16,3,MAT,5,4.1,1.0006,0.318
32,1,CC,5.01,4.26,1.0472,0.3921
32,2,CC,5.01,3.3,1.0843,0.3908
32,3,CC,5,3.47,1.0177,0.3385
32,1,VEN,5,3.03,1.0309,0.2198
32,2,VEN,5,3.12,1.1473,0.3621
32,3,VEN,5.01,3.13,1.0177,0.3399
32,1,HP,5,2.46,1.0661,0.3336
32,2,HP,5,2.29,1.1265,0.4577
32,3,HP,5.01,0.9,1.03,0.2147
32,1,MONT,5.01,2.74,1.0966,0.375
32,2,MONT,5,2.02,1.0025,0.4103
32,3,MONT,5.01,1.9,1.0639,0.4316
32,1,LL,5.01,3.32,1.0971,0.3975
32,2,LL,5,2.52,0.9991,0.1946
32,3,LL,5,3.11,1.001,0.2917
32,1,MAT,5,3.74,1.0986,0.3943
32,2,MAT,5,3.27,1.1098,0.3069
32,3,MAT,5.02,3.29,1.0925,0.33344
44,1,CC,5,3.7,1.0143,0.347
44,2,CC,5,3.75,1.1112,0.3366
44,3,CC,5,3.3,1.0061,0.3318
44,1,VEN,5.01,2.9,0.9828,0.1429
44,2,VEN,5.01,2.6,1.0784,0.4202
44,3,VEN,5.01,3.17,1.1519,0.409
44,1,HP,5.01,1.82,1.084,0.2582
44,2,HP,5,0.9,0.6735,0.2734
44,3,HP,5.01,0.37,0.177,0.0671
44,1,MONT,5,2.62,1.0201,0.3546
44,2,MONT,5,1.95,1.0836,0.478
44,3,MONT,5,1.61,1.05,0.4681
44,1,LL,5,2.69,1.0082,0.3304
44,3,LL,5,3.13,1.0005,0.2744
44,1,MAT,5.01,3.67,1.1325,0.4166
44,2,MAT,5.01,3.14,1.1159,0.377
44,3,MAT,5,3.17,1.0631,0.358
